Adair County, County Clerk's Office,(660) 665-3350,"",ocd-division/country:us/state:mo/county:adair
Andrew County, County Clerk's Office,(816) 324-3624,"",ocd-division/country:us/state:mo/county:andrew
Atchison County, County Clerk's Office,(660) 744-6214,"",ocd-division/country:us/state:mo/county:atchison
Audrain County, County Clerk's Office,(573) 473-5820,"",ocd-division/country:us/state:mo/county:audrain
Barry County, County Clerk's Office,(417) 847-2561,"",ocd-division/country:us/state:mo/county:barry
Barton County, County Clerk's Office,(417) 682-3529,"",ocd-division/country:us/state:mo/county:barton
Bates County, County Clerk's Office,(660) 679-3371,"",ocd-division/country:us/state:mo/county:bates
Benton County, County Clerk's Office,(660) 438-7326,"",ocd-division/country:us/state:mo/county:benton
Bollinger County, County Clerk's Office,(573) 238-1900 x-333,"",ocd-division/country:us/state:mo/county:bollinger
Boone County, County Clerk's Office,(573) 886-4295,http://www.showmeboone.com/CLERK/,ocd-division/country:us/state:mo/county:boone
Buchanan County, County Clerk's Office,(816) 271-1412,http://www.buchcomovotes.com/,ocd-division/country:us/state:mo/county:buchanan
Butler County, County Clerk's Office,(573) 686-8050,"",ocd-division/country:us/state:mo/county:butler
Caldwell County, County Clerk's Office,(816) 586-2571,"",ocd-division/country:us/state:mo/county:caldwell
Callaway County, County Clerk's Office,(573) 642-0730,"",ocd-division/country:us/state:mo/county:callaway
Camden County, County Clerk's Office,"(573) 346-4440, X 1220",http://www.camdenmo.org/index.php?option=com_content&view=article&id=3&Itemid=105,ocd-division/country:us/state:mo/county:camden
Cape Girardeau County, County Clerk's Office,(573) 243-3547,"http://www.capecounty.us/ElectionInfo/County%20Clerk.aspx

",""
Carroll County, County Clerk's Office,(660) 542-0615,"",ocd-division/country:us/state:mo/county:carroll
Carter County, County Clerk's Office,(573) 323-4527,"",ocd-division/country:us/state:mo/county:carter
Cass County, County Clerk's Office,(816) 380-8102,http://www.casscounty.com/clerk/clerk.html,ocd-division/country:us/state:mo/county:cass
Cedar County, County Clerk's Office,(417) 276-6700 Ext. 221,"",ocd-division/country:us/state:mo/county:cedar
Chariton County, County Clerk's Office,(660) 288-3273,"",ocd-division/country:us/state:mo/county:chariton
Christian County, County Clerk's Office,(417) 581-6360,http://www.christiancountymo.gov/clerk.html,ocd-division/country:us/state:mo/county:christian
Clark County, County Clerk's Office,(660) 727-3283,"",ocd-division/country:us/state:mo/county:clark
Clay County Board of Elections,,(816) 415-8683,http://www.claycoelections.com/,""
Clinton County, County Clerk's Office,(816) 539-3713,http://clintoncomo.org/government/courthouse/county-clerk/,ocd-division/country:us/state:mo/county:clinton
Cole County, County Clerk's Office,(573) 634-9106,http://www.colecounty.org/clerk/home.htm,ocd-division/country:us/state:mo/county:cole
Cooper County, County Clerk's Office,(660) 882-2114,http://www.coopercountymo.org/cooperclerk.htm,ocd-division/country:us/state:mo/county:cooper
Crawford County, County Clerk's Office,(573) 775-2376,http://crawfordcountymo.net/index_files/Page767.htm,ocd-division/country:us/state:mo/county:crawford
Dade County, County Clerk's Office,(417) 637-2724,"",ocd-division/country:us/state:mo/county:dade
Dallas County, County Clerk's Office,(417) 345-2632,"",ocd-division/country:us/state:mo/county:dallas
Daviess County, County Clerk's Office,(660) 663-2641,"",ocd-division/country:us/state:mo/county:daviess
DeKalb County, County Clerk's Office,(816) 449-5402,"",ocd-division/country:us/state:mo/county:dekalb
Dent County, County Clerk's Office,(573) 729-4144,"",ocd-division/country:us/state:mo/county:dent
Douglas County, County Clerk's Office,(417) 683-4714,"",ocd-division/country:us/state:mo/county:douglas
Dunklin County, County Clerk's Office,(573) 888-1374,"",ocd-division/country:us/state:mo/county:dunklin
Franklin County, County Clerk's Office,(636) 583-6355,http://www.franklinmo.org/County%20Clerk/Franklin%20County%20Clerk.htm,ocd-division/country:us/state:mo/county:franklin
Gasconade County, County Clerk's Office,(573) 486-5427,"",ocd-division/country:us/state:mo/county:gasconade
Gentry County, County Clerk's Office,(660) 726-3525,"",ocd-division/country:us/state:mo/county:gentry
Greene County, County Clerk's Office,(417) 868-4055,http://www.greenecountymo.org/election/,ocd-division/country:us/state:mo/county:greene
Grundy County, County Clerk's Office,(660) 359-4040 ext. 4,"",ocd-division/country:us/state:mo/county:grundy
Harrison County, County Clerk's Office,(660) 425-6424,"",ocd-division/country:us/state:mo/county:harrison
Henry County, County Clerk's Office,(660) 885-7204,http://www.henrycomo.com/new_page_7.htm,ocd-division/country:us/state:mo/county:henry
Hickory County, County Clerk's Office,(417) 745-6450,"",ocd-division/country:us/state:mo/county:hickory
Holt County, County Clerk's Office,(660) 446-3303,"",ocd-division/country:us/state:mo/county:holt
Howard County, County Clerk's Office,(660) 248-2284,"",ocd-division/country:us/state:mo/county:howard
Howell County, County Clerk's Office,(417) 256-2591,http://www.howellcounty.net/clerk.php,ocd-division/country:us/state:mo/county:howell
Iron County, County Clerk's Office,(573) 546-2912,"",ocd-division/country:us/state:mo/county:iron
Jackson County Board of Elections,,(816) 325-4600,http://www.jcebmo.org/,""
Jasper County, County Clerk's Office,(417) 237-1008,http://www.jaspercounty.org/clerk/,ocd-division/country:us/state:mo/county:jasper
Jefferson County, County Clerk's Office,(636) 797-5486,http://www.jeffcomo.org/CountyClerk.aspx?nodeID=CountyClerk,ocd-division/country:us/state:mo/county:jefferson
